x,y
tensor(22.6434),tensor(-6.4043)
tensor(0.2269),tensor(1.2578)
tensor(0.5249),tensor(0.9302)
tensor(0.9454),tensor(5.2415)
tensor(0.0536),tensor(-0.0155)
tensor(0.0833),tensor(0.2150)
tensor(9.6453),tensor(-2.9597)
tensor(0.3568),tensor(0.9411)
tensor(0.6628),tensor(3.6745)
tensor(2.3408),tensor(1.0683)
tensor(0.6025),tensor(1.5891)
tensor(9.6859),tensor(4.4206)
tensor(1.5462),tensor(0.4683)
tensor(0.2759),tensor(0.7473)
tensor(1.6669),tensor(-0.7142)
tensor(8.9554),tensor(-2.7480)
tensor(1.0161),tensor(0.5659)
tensor(20.3615),tensor(-6.0723)
tensor(0.8377),tensor(-0.1086)
tensor(14.5891),tensor(-6.3502)
tensor(0.0888),tensor(0.2293)
tensor(0.3340),tensor(1.8517)
tensor(0.0506),tensor(0.1307)
tensor(0.5760),tensor(-0.0830)
tensor(10.7024),tensor(-3.1039)
tensor(0.5572),tensor(0.9875)
tensor(0.7755),tensor(0.2349)
tensor(0.7468),tensor(2.6296)
tensor(0.6615),tensor(3.6672)
tensor(0.3093),tensor(0.6760)
tensor(0.7100),tensor(1.2583)
tensor(19.5877),tensor(-5.2112)
tensor(22.6340),tensor(-6.4016)
tensor(0.3403),tensor(1.2221)
tensor(0.6411),tensor(2.2575)
tensor(0.1068),tensor(-0.0308)
tensor(0.6745),tensor(3.7395)
tensor(1.6001),tensor(0.8913)
tensor(0.6898),tensor(3.8242)
tensor(1.1722),tensor(0.6529)
tensor(0.0151),tensor(0.0401)
tensor(1.4878),tensor(0.4506)
tensor(4.0450),tensor(1.8461)
tensor(0.0454),tensor(0.1172)
tensor(1.5028),tensor(0.4551)
tensor(3.5462),tensor(-1.5194)
tensor(0.0516),tensor(0.1851)
tensor(0.0280),tensor(0.0723)
tensor(14.3346),tensor(-4.1573)
tensor(0.0238),tensor(0.0614)
tensor(21.7116),tensor(-6.1407)
tensor(0.7106),tensor(3.9395)
tensor(9.3316),tensor(4.2589)
tensor(0.6565),tensor(0.6285)
tensor(1.0875),tensor(2.9985)
tensor(23.0845),tensor(-6.5290)
tensor(0.4890),tensor(1.7217)
tensor(5.8640),tensor(-1.8523)
tensor(0.5553),tensor(0.9842)
tensor(9.1109),tensor(-2.7957)
tensor(0.0786),tensor(0.2821)
tensor(0.0053),tensor(0.0140)
tensor(15.4649),tensor(-6.7314)
tensor(10.0912),tensor(-4.3924)
tensor(0.0371),tensor(0.0958)
tensor(2.5613),tensor(1.1690)
tensor(0.0661),tensor(0.2373)
tensor(0.0599),tensor(-0.0173)
tensor(2.0565),tensor(1.1454)
tensor(0.4114),tensor(-0.2353)
tensor(0.7872),tensor(1.3951)
tensor(14.8652),tensor(-4.3111)
tensor(0.6730),tensor(3.7310)
tensor(0.0399),tensor(0.1030)
tensor(18.2013),tensor(-7.2310)
tensor(0.0691),tensor(0.1784)
tensor(6.7447),tensor(-2.0696)
tensor(0.7726),tensor(4.2837)
tensor(1.1591),tensor(6.4264)
tensor(1.2717),tensor(4.5669)
tensor(14.8621),tensor(-4.3102)
tensor(1.4772),tensor(0.4473)
tensor(8.2119),tensor(-2.5198)
tensor(8.5822),tensor(3.9169)
tensor(1.1015),tensor(0.3336)
tensor(0.6876),tensor(1.8958)
tensor(0.8681),tensor(0.2629)
tensor(0.9246),tensor(0.2800)
tensor(1.0182),tensor(-0.1319)
tensor(0.6985),tensor(1.2379)
tensor(0.1824),tensor(0.6551)
tensor(0.2225),tensor(0.2637)
tensor(0.3895),tensor(0.8514)
tensor(21.7439),tensor(-6.1499)
tensor(0.4513),tensor(1.5893)
tensor(14.4285),tensor(-4.1845)
tensor(1.3988),tensor(5.0231)
tensor(1.7757),tensor(0.5378)
tensor(0.0743),tensor(0.2668)
tensor(0.8150),tensor(-0.4662)
tensor(22.2707),tensor(-6.2989)
tensor(0.5330),tensor(0.9446)
tensor(0.8365),tensor(-0.1084)
tensor(8.3995),tensor(-2.5774)
tensor(0.5329),tensor(1.4056)
tensor(0.0082),tensor(0.0218)
tensor(0.4850),tensor(1.7416)
tensor(0.5626),tensor(1.9810)
tensor(0.4915),tensor(1.7650)
tensor(0.0620),tensor(0.1602)
tensor(8.8761),tensor(4.0510)
tensor(11.6341),tensor(-3.3741)
tensor(0.7079),tensor(3.9250)
tensor(0.7192),tensor(0.2178)
tensor(0.0206),tensor(0.0533)
tensor(0.1323),tensor(0.4749)
tensor(0.7356),tensor(4.0783)
tensor(12.3510),tensor(-5.3760)
tensor(0.8891),tensor(2.4513)
tensor(0.6882),tensor(3.8157)
tensor(0.6590),tensor(3.6539)
tensor(0.0669),tensor(0.1727)
tensor(0.3327),tensor(0.3185)
tensor(1.4794),tensor(0.4480)
tensor(8.2207),tensor(3.7519)
tensor(1.6063),tensor(-0.6882)
tensor(0.7099),tensor(2.4995)
tensor(0.3533),tensor(0.3382)
tensor(0.0082),tensor(0.0218)
tensor(13.6066),tensor(-5.9225)
tensor(21.0523),tensor(-6.2783)
tensor(0.7941),tensor(1.4074)
tensor(0.8288),tensor(0.2510)
tensor(0.9582),tensor(-0.1242)
tensor(0.0952),tensor(-0.0275)
tensor(0.1518),tensor(0.3319)
tensor(2.0318),tensor(7.2964)
tensor(0.6551),tensor(0.6272)
tensor(0.3430),tensor(0.3284)
tensor(1.8372),tensor(0.5564)
tensor(0.9162),tensor(2.5262)
tensor(0.4311),tensor(0.9424)
tensor(1.4824),tensor(0.4489)
tensor(1.8956),tensor(1.0558)
tensor(0.6527),tensor(0.6249)
tensor(2.6015),tensor(-0.3371)
tensor(4.9465),tensor(-0.7771)
tensor(0.6188),tensor(3.4305)
tensor(0.5944),tensor(1.2993)
tensor(1.9005),tensor(0.5756)
tensor(0.7042),tensor(1.9417)
tensor(21.2868),tensor(-6.3482)
tensor(0.7744),tensor(4.2933)
tensor(1.4316),tensor(7.1095)
tensor(22.7128),tensor(-6.4239)
tensor(11.7231),tensor(-3.3999)
tensor(2.6109),tensor(1.1916)
tensor(22.9953),tensor(-6.5038)
tensor(0.8181),tensor(2.8806)
tensor(0.3736),tensor(0.8167)
tensor(1.1564),tensor(-0.1499)
tensor(0.3374),tensor(0.3230)
tensor(6.4992),tensor(2.9662)
tensor(2.4781),tensor(-1.0617)
tensor(2.4889),tensor(1.1359)
tensor(0.3837),tensor(0.3674)
tensor(0.4109),tensor(1.0838)
tensor(9.7561),tensor(4.4527)
tensor(6.6432),tensor(-2.0385)
tensor(7.1753),tensor(3.2748)
tensor(0.4918),tensor(1.2972)
tensor(0.1657),tensor(0.5950)
tensor(13.9774),tensor(-4.0536)
tensor(0.2858),tensor(0.7740)
tensor(6.9610),tensor(-2.1360)
tensor(0.6505),tensor(0.6228)
tensor(0.0651),tensor(-0.0188)
tensor(0.5732),tensor(3.1781)
tensor(14.8776),tensor(-6.4758)
tensor(9.7037),tensor(-2.8142)
tensor(0.0118),tensor(0.0312)
tensor(0.6752),tensor(2.3774)
